ID_CURSO,TEMA_CLASSROOM,TITULO_MATERIAL,DESCRIPCION_MATERIAL,URL_GITHUB
,6.1 Transporte Espacial Autonomo,Teoria: 1.TEORIA.pdf,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-6_Naves_espaciales/6.1_Transporte_Espacial_Autonomo/2.TEORIA/1.TEORIA.pdf
,6.1 Transporte Espacial Autonomo,Teoria: T0.DEBATE.pdf,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-6_Naves_espaciales/6.1_Transporte_Espacial_Autonomo/2.TEORIA/T0.DEBATE.pdf
,6.1 Transporte Espacial Autonomo,Teoria: T2.VIDEO.mp4,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-6_Naves_espaciales/6.1_Transporte_Espacial_Autonomo/2.TEORIA/T2.VIDEO.mp4
,6.1 Transporte Espacial Autonomo,Teoria: T3.VIDEO_HIPERREALISTA.mp4,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-6_Naves_espaciales/6.1_Transporte_Espacial_Autonomo/2.TEORIA/T3.VIDEO_HIPERREALISTA.mp4
,6.1 Transporte Espacial Autonomo,Practica: P1_VISOR_TRANSPORTE_ESPACIAL_AUTONOMO.html,Abre este simulador interactivo.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-6_Naves_espaciales/6.1_Transporte_Espacial_Autonomo/3.PRACTICAS/P1_VISOR_TRANSPORTE_ESPACIAL_AUTONOMO.html
,6.1 Transporte Espacial Autonomo,Practica: P4.JUEGO.html,Abre este simulador interactivo.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-6_Naves_espaciales/6.1_Transporte_Espacial_Autonomo/3.PRACTICAS/P4.JUEGO.html
,6.2 Star Wars,Teoria: T0.DEBATE.pdf,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-6_Naves_espaciales/6.2_Star_Wars/2.TEORIA/T0.DEBATE.pdf
,6.2 Star Wars,Teoria: T1.TEORIA.pdf,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-6_Naves_espaciales/6.2_Star_Wars/2.TEORIA/T1.TEORIA.pdf
,6.2 Star Wars,Teoria: T2..VIDEO.mp4,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-6_Naves_espaciales/6.2_Star_Wars/2.TEORIA/T2..VIDEO.mp4
,6.2 Star Wars,Teoria: T3.1.VIDEO_HALCON_HIPERREALISTA.mp4,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-6_Naves_espaciales/6.2_Star_Wars/2.TEORIA/T3.1.VIDEO_HALCON_HIPERREALISTA.mp4
,6.2 Star Wars,Teoria: T3.2.VIDEO_XWING_HIPERREALISTA.mp4,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-6_Naves_espaciales/6.2_Star_Wars/2.TEORIA/T3.2.VIDEO_XWING_HIPERREALISTA.mp4
,6.2 Star Wars,Teoria: T3.3.DESTRUCTOR_IMPERIAL_HIPERREALISTA.mp4,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-6_Naves_espaciales/6.2_Star_Wars/2.TEORIA/T3.3.DESTRUCTOR_IMPERIAL_HIPERREALISTA.mp4
,6.2 Star Wars,Teoria: T3.4.ESTRELLA_MUERTE_HIPERREALISTA.mp4,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-6_Naves_espaciales/6.2_Star_Wars/2.TEORIA/T3.4.ESTRELLA_MUERTE_HIPERREALISTA.mp4
,6.2 Star Wars,Practica: El Gran Museo de Star Wars 3D,"Acceso al Gran Museo interactivo 3D con todas las salas temáticas: Hangar de Naves Estelares (22 Naves), Garaje de Vehículos Terrestres (16 Vehículos), Armería Galáctica (16 Ítems), Galería de Personajes y Alumnos con animación y sables de luz (16 Personajes Mixamo), Cámaras Interiores y Mundos Exteriores.",https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-6_Naves_espaciales/6.2_Star_Wars/4.GRAN_MUSEO_STAR_WARS/index.html
,6.2 Star Wars,Practica: P4.JUEGO.html,Abre este simulador interactivo.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-6_Naves_espaciales/6.2_Star_Wars/3.PRACTICAS/P4.JUEGO.html
