ID_CURSO,TEMA_CLASSROOM,TITULO_MATERIAL,DESCRIPCION_MATERIAL,URL_GITHUB
,5.1 Perro Unitree Go2 AIR,Teoria: T0.DEBATE.pdf,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-5_Androides/5.1_Perro_Unitree%20Go2%20AIR/2.TEORIA/T0.DEBATE.pdf
,5.1 Perro Unitree Go2 AIR,Teoria: T1.TEORIA.pdf,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-5_Androides/5.1_Perro_Unitree%20Go2%20AIR/2.TEORIA/T1.TEORIA.pdf
,5.1 Perro Unitree Go2 AIR,Teoria: T2.VIDEO.mp4,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-5_Androides/5.1_Perro_Unitree%20Go2%20AIR/2.TEORIA/T2.VIDEO.mp4
,5.1 Perro Unitree Go2 AIR,Practica: P1.CONSTRUCCION.html,Abre este simulador interactivo.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-5_Androides/5.1_Perro_Unitree%20Go2%20AIR/3.PRACTICAS/P1.CONSTRUCCION.html
,5.1 Perro Unitree Go2 AIR,Practica: P2.EJEMPLO-REAL.html,Abre este simulador interactivo.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-5_Androides/5.1_Perro_Unitree%20Go2%20AIR/3.PRACTICAS/P2.EJEMPLO-REAL.html
,5.1 Perro Unitree Go2 AIR,Practica: P3.MISIONES-ACROBATICAS.html,Abre este simulador interactivo.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-5_Androides/5.1_Perro_Unitree%20Go2%20AIR/3.PRACTICAS/P3.MISIONES-ACROBATICAS.html
,5.1 Perro Unitree Go2 AIR,Practica: P4.JUEGO.html,Abre este simulador interactivo.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-5_Androides/5.1_Perro_Unitree%20Go2%20AIR/3.PRACTICAS/P4.JUEGO.html
,5.2 Robot Bipedo. (Comunicacion visual),Teoria: T0.DEBATE.pdf,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-5_Androides/5.2_Robot-Bipedo.%20%28Comunicacion-visual%29/2.TEORIA/T0.DEBATE.pdf
,5.2 Robot Bipedo. (Comunicacion visual),Teoria: T1.TEORIA.pdf,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-5_Androides/5.2_Robot-Bipedo.%20%28Comunicacion-visual%29/2.TEORIA/T1.TEORIA.pdf
,5.2 Robot Bipedo. (Comunicacion visual),Teoria: T2.VIDEO.mp4,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-5_Androides/5.2_Robot-Bipedo.%20%28Comunicacion-visual%29/2.TEORIA/T2.VIDEO.mp4
,5.2 Robot Bipedo. (Comunicacion visual),Practica: P1.CONSTRUCCION.html,Abre este simulador interactivo.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-5_Androides/5.2_Robot-Bipedo.%20%28Comunicacion-visual%29/3.PRACTICAS/P1.CONSTRUCCION.html
,5.2 Robot Bipedo. (Comunicacion visual),Practica: P2.CINEMATICA.html,Abre este simulador interactivo.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-5_Androides/5.2_Robot-Bipedo.%20%28Comunicacion-visual%29/3.PRACTICAS/P2.CINEMATICA.html
,5.2 Robot Bipedo. (Comunicacion visual),Practica: P3.PROGRAMACION.html,Abre este simulador interactivo.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-5_Androides/5.2_Robot-Bipedo.%20%28Comunicacion-visual%29/3.PRACTICAS/P3.PROGRAMACION.html
,5.2 Robot Bipedo. (Comunicacion visual),Practica: P4.JUEGO.html,Abre este simulador interactivo.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-5_Androides/5.2_Robot-Bipedo.%20%28Comunicacion-visual%29/3.PRACTICAS/P4.JUEGO.html
,5.3 Androide MIXAMO,Teoria: T0.DEBATE.pdf,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-5_Androides/5.3_Androide_MIXAMO/2.TEORIA/T0.DEBATE.pdf
,5.3 Androide MIXAMO,Teoria: T1.1.TEORIA.pdf,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-5_Androides/5.3_Androide_MIXAMO/2.TEORIA/T1.1.TEORIA.pdf
,5.3 Androide MIXAMO,Teoria: T1.2.TEORIA.pdf,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-5_Androides/5.3_Androide_MIXAMO/2.TEORIA/T1.2.TEORIA.pdf
